N-500,N-800,N-1000,N-1200
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.895532213,0.896102591,0.895908981,0.89596343
0.895991527,0.896919038,0.896061077,0.895995075
0.896096875,0.894629734,0.894196771,0.893507869
0.899362946,0.899197784,0.898395493,0.897721389
0.901724949,0.900714458,0.901000694,0.89868158
0.902833067,0.903343054,0.90279236,0.899662457
0.912079068,0.913014193,0.913263191,0.909212044
0.916048071,0.918813042,0.917664771,0.91216698
0.908487227,0.910634947,0.909622516,0.903598882
0.919959537,0.923434427,0.923486314,0.916525804
0.916435413,0.919918777,0.920450857,0.913050718
0.912982462,0.917257746,0.917155629,0.910061601
0.907451808,0.911391219,0.910279406,0.905336576
0.903217142,0.907290947,0.905949611,0.90116517
0.896570072,0.899824925,0.898599306,0.893988122
0.903412415,0.906454498,0.905378882,0.900469356
0.901855858,0.904238775,0.902558389,0.898054025
0.898747328,0.901217198,0.899793763,0.895273857
0.89527749,0.897481672,0.896195443,0.891980833
0.892456318,0.894533142,0.893140987,0.888956618
0.897160118,0.90095906,0.89849985,0.894598141
0.89513428,0.897575012,0.895586803,0.892011162
0.891864812,0.893453831,0.891880396,0.888295527
0.885898608,0.886261532,0.8842116,0.880786496
0.885904643,0.885901948,0.884427786,0.881120189
0.884549081,0.884115614,0.883284975,0.880065475
0.891835233,0.891814117,0.89101442,0.887321036
0.882887104,0.885301584,0.885752355,0.879444537
0.87775919,0.878786174,0.88053091,0.873664764
0.876751998,0.877022063,0.879161451,0.872095427
0.868433475,0.869146039,0.87164555,0.864349683
0.883230433,0.883700699,0.885626032,0.877924621
0.877524828,0.87795511,0.877091912,0.87047362
0.876109292,0.876300346,0.875281608,0.869460422
0.87469414,0.874729482,0.873596785,0.868045766
0.875165793,0.874369527,0.874282335,0.86891363
0.878402929,0.875591902,0.875844355,0.870912697
0.877608772,0.872507147,0.874316144,0.869610756
0.878914048,0.873349145,0.874936084,0.870215932
0.876875471,0.871316032,0.872572873,0.868417625
0.872574352,0.867294675,0.868221774,0.864301706
0.883164085,0.879792528,0.87917856,0.875467707
0.878060552,0.873725937,0.874012599,0.869235788
0.87489363,0.872510391,0.872119936,0.866822939
0.869555902,0.866765601,0.866567536,0.860932874
0.867459919,0.864304066,0.863769213,0.858437058
0.862591045,0.858671494,0.857903297,0.85297964
0.866366599,0.862239713,0.861460178,0.85705391
0.868597834,0.864163242,0.862706451,0.859327749
0.869399933,0.865419858,0.863148805,0.860322342
0.868895218,0.8654342,0.863015476,0.860013558
0.868017428,0.864809192,0.861818688,0.858850843
0.868781193,0.864621086,0.861806192,0.859450345
0.865536871,0.861745175,0.858959849,0.856793223
0.856820654,0.852831294,0.850507318,0.848176458
0.853953212,0.849711517,0.847400094,0.845272973
0.857377141,0.85252057,0.85093088,0.848707035
0.857571992,0.853784387,0.851435618,0.849611754
0.85589995,0.852208057,0.849802025,0.848338683
0.849740969,0.845924683,0.843586578,0.842277953
0.844911836,0.840894944,0.83859464,0.837495777
0.853243258,0.849931197,0.847510894,0.846799142
0.850709856,0.845805739,0.844061363,0.843526279
0.846876384,0.842943248,0.84083301,0.840175434
0.839440667,0.835175588,0.833379122,0.832671896
0.851048231,0.84772956,0.845555875,0.844542034
0.846416841,0.843986053,0.841723662,0.840596998
0.850313676,0.847286584,0.845194927,0.845120787
0.857741919,0.857419069,0.85162586,0.854185159
0.849472731,0.850680888,0.84235761,0.845698895
0.84116663,0.841503606,0.83381927,0.837239002
0.836518775,0.836913858,0.829474328,0.832387577
0.839408514,0.839032343,0.832007585,0.834338213
0.835574772,0.836360311,0.828677624,0.831270524
0.829679197,0.830876846,0.823143261,0.825181875
0.839371679,0.840277911,0.832087542,0.83423496
0.836502466,0.83609503,0.829380928,0.82977107
0.839174596,0.838596415,0.831974513,0.832484929
0.837737634,0.837184228,0.829423859,0.830014213
0.833919526,0.833615898,0.825498685,0.826122412
0.83230253,0.83210327,0.824209409,0.824924033
