N=1000,N=1200
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.878201217,0.878635935
0.882279503,0.88620645
0.834770558,0.839891338
0.860929358,0.866350083
0.912446164,0.920200796
0.87901873,0.887165576
0.940905279,0.944290706
0.905990238,0.909319922
0.863814876,0.867026914
0.936772735,0.944878407
0.931272842,0.939692029
0.909753853,0.918120318
0.865262264,0.873903632
0.842791758,0.853115882
0.793044945,0.805361912
0.84600181,0.855447665
0.850537796,0.861361641
0.829735868,0.840077593
0.810251676,0.820770092
0.794283638,0.803592038
0.856809829,0.855793152
0.846447417,0.846770182
0.815839907,0.817551467
0.765177433,0.766561546
0.773105335,0.774965387
0.776685785,0.776351059
0.877129251,0.872631615
0.939414977,0.932295076
0.946057538,0.939488686
0.908771287,0.902740693
0.865208763,0.858288702
0.954740229,0.944996843
0.963373129,0.955046176
0.965299779,0.955789574
0.957025681,0.948904828
0.966274519,0.960947627
1.003741882,0.995510488
0.980526254,0.973059532
0.979943324,0.973093808
0.961394641,0.955226135
0.928545474,0.922416985
0.990905652,0.99021996
1.02398529,1.019613536
0.999704338,0.996465841
0.962044148,0.958223658
0.940184074,0.936436012
0.900425859,0.897004028
0.913246305,0.912367607
0.951539006,0.949947112
0.912589716,0.911430219
0.904404008,0.904844365
0.89856675,0.90089429
0.903310358,0.907188852
0.858103094,0.862135472
0.810137565,0.814596123
0.786856717,0.790757588
0.82134677,0.823711642
0.864878547,0.864874763
0.831275267,0.832114484
0.786046449,0.787405237
0.7506423,0.753433413
0.852798371,0.850056275
0.856346277,0.855042782
0.807918649,0.807054975
0.760963463,0.760365798
0.876161532,0.870047135
0.895443743,0.890397304
0.981722735,0.971186332
0.941165926,0.929142268
0.896908816,0.884301924
0.850660878,0.837131015
0.817848488,0.80551981
0.835349728,0.824544815
0.789598593,0.778641368
0.749684536,0.739091211
0.852020487,0.841255295
0.875909588,0.863577469
0.949826861,0.938888068
0.930791213,0.920805939
0.898345998,0.889210351
0.881060784,0.873021709
0.96749134,0.963902439
0.948051339,0.945689476
0.910973725,0.908977591
0.872092993,0.870192365
0.825617421,0.823557638
0.775846837,0.773566196
0.725433016,0.723454014
0.693260314,0.693362588
0.643427391,0.644509148
0.585992161,0.587683705
0.581036786,0.583617516
0.646874402,0.646397823
0.633812146,0.634718868
0.573919558,0.575265214
0.508432205,0.510211383
0.447742733,0.451390964
0.360890877,0.365367134
0.699234928,0.669858916
0.675247044,0.648150068
0.774991229,0.756031012
0.729658183,0.710014551
0.6763258,0.655412274
1.029569536,0.99206951
0.998055293,0.959953303
1.004664228,0.970039565
0.974761317,0.938841509
0.947292608,0.91243181
0.917202064,0.884018261
1.05110989,1.016889111
1.053235557,1.020178022
1.017203441,0.984037945
0.992563125,0.959717431
1.130910111,1.09593781
1.138845816,1.104509931
1.221144129,1.179012057
1.324047892,1.274641405
1.307048363,1.25902849
1.318479163,1.270796883
1.324743318,1.279862276
1.323604822,1.280579231
1.352627605,1.30996845
1.358902419,1.316660589
1.339206634,1.297452794
1.348668532,1.310425478
1.355314864,1.319736539
1.341855474,1.307462672
1.357762767,1.326243689
1.358721117,1.328771624
1.370224107,1.342191013
1.340383621,1.311668629
1.36364325,1.336501688
1.386219354,1.361445187
1.377168972,1.353782
1.347858127,1.324083197
1.33391236,1.311670746
1.308927871,1.287186775
1.285886757,1.265281511
1.253884419,1.232808889
1.28988889,1.271278829
1.258118535,1.239407771
1.241705051,1.224358302
1.208533994,1.190488507
1.288446727,1.272436898
1.26827732,1.252135139
1.485213277,1.439446993
1.472604823,1.426486618
1.444482463,1.397489575
1.446288899,1.40217339
1.42141702,1.377525513
1.400114961,1.357117191
1.370475298,1.326691182
1.356273564,1.314539583
1.328366707,1.285930745
1.311672881,1.270916891
1.349785405,1.310825193
1.373072616,1.335806104
1.369723715,1.333341686
1.345235319,1.308559157
1.323804828,1.287666563
1.298851198,1.262985203
1.268808805,1.232748506
1.265047479,1.231706399
1.253826208,1.222894721
1.259132107,1.230617801
1.229761006,1.201320083
1.201407969,1.17304785
1.240219749,1.213400416
1.213479204,1.186196652
1.278790197,1.250987935
1.264013629,1.23599757
1.245370083,1.217684816
1.2570205,1.230396832
1.230116746,1.203228498
1.202869442,1.175952452
1.17137855,1.143643826
1.145269146,1.117913623
1.117677946,1.090765848
1.11053477,1.086354189
1.084201551,1.06046405
1.080880532,1.059377793
1.046133526,1.024163689
1.00998317,0.987298505
0.9766379,0.953726256
0.947787059,0.92601625
0.911493696,0.889474205
0.871364777,0.848637729
0.834213301,0.811542467
0.789580979,0.765635135
0.785134485,0.765476208
0.750103191,0.731643256
0.736725204,0.722023742
0.816158876,0.802940541
0.770790582,0.756766431
0.734059588,0.720336258
0.710852965,0.698545765
0.697218942,0.688467545
0.644759657,0.635733364
0.646316931,0.641830709
0.820096651,0.801628122
0.786570767,0.767833253
0.768263687,0.750551036
0.828576749,0.808261555
0.785853012,0.764889905
0.828989532,0.80970025
0.823908941,0.806729306
0.810058143,0.795274733
0.769237666,0.754594294
0.756236682,0.743229426
0.711397785,0.697384275
0.968333408,0.927163049
0.932566568,0.889433245
1.016234221,0.972952928
1.112425056,1.068702274
1.118453642,1.073225667
1.114918544,1.068815412
1.100022529,1.054333614
1.071083016,1.024588823
1.038725663,0.991087225
1.006101535,0.957304809
0.987668819,0.939811926
0.965246381,0.919107187
0.93118014,0.88399691
0.895731927,0.847207898
0.915139111,0.877269031
0.905085133,0.870243559
0.982550784,0.953522099
0.968237134,0.937296574
1.023590088,0.996985798
0.99705235,0.969570952
1.018284251,0.992107817
1.002178867,0.977202522
1.06484456,1.043027634
1.032981422,1.010954986
1.054988463,1.033475063
1.031182375,1.009934434
0.99974283,0.976967147
0.984215693,0.961668158
0.950939235,0.926853435
0.930492717,0.907741718
0.897506671,0.874230102
0.904613405,0.884688884
0.881154567,0.861628147
0.845085187,0.825051578
0.825833712,0.809368941
0.793226864,0.777157369
0.802992936,0.788600566
0.763842836,0.748558084
0.723903291,0.707848328
0.703651223,0.689126444
0.694718098,0.684178115
0.719816717,0.713562776
0.802707101,0.796969533
0.767809817,0.76147867
0.764866019,0.756980941
0.758712751,0.750215002
0.778474053,0.767567962
0.759648103,0.74893938
0.729303607,0.718555247
0.708579224,0.697999978
0.663852555,0.653021463
0.654449968,0.648770824
0.648485592,0.646295246
0.599352773,0.596547603
0.621190119,0.618430478
0.571125537,0.567707007
0.645065369,0.64773594
0.698968156,0.700340637
0.659328977,0.661283047
0.649339902,0.650121031
0.708853075,0.708376403
0.710269485,0.711178556
0.675079698,0.676941326
0.665073694,0.668550786
0.630861534,0.63529735
0.690092195,0.691716851
0.72045524,0.721296586
0.764239987,0.761969536
0.803640337,0.795616505
0.829024729,0.819393085
0.810064396,0.799655681
0.772564313,0.762110383
0.746633786,0.737101404
0.715051264,0.706065169
0.76781829,0.761859176
0.754920587,0.750092057
0.853323246,0.85527699
0.83042544,0.831928819
0.815359427,0.81783939
0.780123864,0.783155901
0.744150304,0.747424345
0.720078386,0.724178302
0.683450081,0.687824902
0.66773918,0.671767927
0.645160638,0.650783918
0.733510077,0.733671924
0.706586022,0.706717713
0.772495568,0.771762391
0.738141827,0.737439578
0.77206595,0.773317102
0.829690812,0.831382856
0.793476939,0.795721348
0.784498627,0.787520899
0.752125892,0.755166261
0.712726286,0.715966471
0.769634021,0.772352727
0.763213823,0.76582303
0.726579651,0.72928429
0.914659664,0.909911525
0.922862674,0.916550577
0.99969299,0.985557101
0.977665348,0.962887325
0.996821197,0.981787205
0.968096254,0.952156266
0.953230919,0.938652341
0.975733402,0.964640042
0.955241268,0.944915643
0.995524308,0.986792006
0.968949417,0.960025257
1.01269241,1.004869549
1.021978997,1.013549891
1.007428153,0.998877822
1.005915494,0.998471767
0.979051319,0.97154301
0.99913355,0.993172965
0.971060253,0.965437403
0.970042624,0.966946068
0.951198261,0.948764329
0.954274749,0.952997193
0.934567671,0.933417199
0.980413873,0.981780419
0.951933365,0.954424273
0.923074438,0.9257961
1.083304578,1.081876824
1.066024207,1.064565396
1.049611651,1.047840002
1.088882072,1.089122859
1.075711959,1.076436062
1.140364264,1.138755644
1.130804425,1.12789141
1.16853975,1.165797274
1.152228863,1.149514564
1.178418247,1.176499737
1.19538105,1.192978461
1.182220447,1.180129782
1.175623198,1.17408291
1.207510471,1.205664247
1.209881521,1.208057375
1.24253878,1.241893386
1.227591949,1.226595133
1.208551201,1.207322781
1.188923848,1.187700849
1.172892225,1.171666993
1.169419059,1.169357143
1.168557564,1.168560052
1.171543643,1.172013158
1.211707164,1.212378529
1.189345678,1.19013244
1.166633634,1.167562343
1.144593144,1.145762028
1.121800101,1.122862785
1.116700946,1.117817256
1.148633232,1.150118972
1.126200033,1.127797709
1.104306692,1.106210872
1.154386723,1.15974726
1.172903073,1.178116959
1.153442297,1.15888636
1.133700837,1.138993541
1.125255333,1.130803762
1.145849037,1.152463577
1.170018067,1.17604439
1.186140504,1.192298653
1.177738218,1.184142333
1.156195137,1.162432415
1.132975536,1.139599817
1.160615746,1.168206593
1.148733109,1.156261528
1.129607547,1.137200021
1.121435804,1.128969567
1.102523646,1.109835608
1.082870954,1.090478176
1.063041383,1.070781715
1.06688221,1.074963534
1.05498755,1.06288957
1.036707547,1.044880208
1.031349255,1.039785863
1.006165741,1.014954995
0.98877213,0.997548131
0.995264976,1.003367772
0.969591243,0.977776527
0.9951005,1.003342552
0.993259409,1.001583909
0.977982987,0.986384846
0.974572678,0.982201097
0.973346912,0.980211206
0.954841471,0.961792195
0.954754504,0.961103031
1.007924874,1.012441011
1.031569912,1.035055331
1.043610396,1.04677866
1.025042999,1.027975134
1.050598761,1.054541852
1.027769195,1.031540562
1.005386683,1.008951954
0.999515078,1.002297185
0.986593336,0.989086528
0.968415249,0.970792183
0.975781249,0.978118809
0.966766295,0.968816592
0.964032114,0.96622638
0.959776772,0.961878593
1.037353459,1.038001355
1.013821939,1.014766734
1.086223255,1.08630203
1.077808125,1.077390524
1.087249893,1.086182317
1.104305498,1.103198009
1.084475023,1.083150931
1.06153165,1.060274582
1.046681749,1.045432986
1.028489823,1.027496588
1.007526914,1.006533696
0.983094737,0.982111976
1.007592267,1.007524586
1.030656317,1.03135526
1.030862873,1.031015994
1.018858828,1.019240611
1.023195495,1.024418574
1.019173523,1.020633605
1.003173984,1.004855841
0.980168027,0.982001378
0.958979253,0.960880739
0.944027926,0.945787813
0.919222422,0.920977985
0.921677303,0.923412804
0.90596417,0.908106053
0.895016747,0.897593378
0.87266282,0.875503436
0.847903727,0.850838512
0.838038241,0.841175273
0.880812841,0.884501453
0.880538279,0.883476092
0.858507586,0.861655848
0.830237454,0.833570504
0.827929791,0.831908979
0.847268627,0.850718653
0.818934713,0.822644863
0.804247492,0.808161576
0.803587848,0.807040299
0.785285416,0.789263333
0.793027827,0.797748884
0.764385191,0.769418573
0.73379843,0.739035378
0.70145007,0.706934532
0.697379245,0.701810844
0.686301589,0.690669847
0.814388047,0.818889469
0.912059439,0.910772168
0.888894802,0.887334957
0.865738601,0.864154177
0.850868153,0.849921919
0.934223437,0.935353456
0.998087176,0.997541471
0.974177879,0.973836904
0.949996092,0.949730021
0.929001034,0.929116394
1.020712551,1.020562252
1.000247271,0.999621196
0.977215661,0.976676118
0.984118147,0.982704221
0.973074747,0.972052635
0.949953812,0.948809006
0.945262385,0.945061013
0.921062996,0.920852211
0.896841029,0.896601482
0.87315331,0.872900765
0.858371523,0.858507526
0.837307814,0.83737794
0.815160489,0.815660993
0.800436026,0.801628273
0.774701536,0.776083181
0.751188351,0.752624091
0.722489098,0.724026404
0.702074313,0.703908199
0.749784209,0.751123225
0.724598948,0.725299519
0.695989538,0.697146616
0.702440728,0.704507893
0.672313102,0.674610596
0.638745276,0.641182663
0.678728583,0.679582849
0.704775618,0.704529398
0.6718138,0.672221947
0.637690783,0.63831373
0.609159584,0.610175854
0.695087769,0.694122667
0.664359488,0.663499867
0.634578253,0.633646531
0.598638194,0.597891631
0.633361407,0.633689136
0.61319036,0.613422532
0.57651408,0.576951069
0.594190818,0.596272519
0.575604429,0.577821068
0.66883722,0.67414027
0.669578768,0.675321099
0.63651514,0.642538494
0.607419259,0.613415052
0.66646192,0.668975828
0.648340196,0.650506404
0.765405632,0.76980203
0.745708859,0.750005227
0.729344061,0.73337873
0.951495389,0.971518382
0.958377632,0.976161762
0.935451438,0.953293943
0.984418682,1.002540169
0.991396498,1.009038516
1.032809291,1.050725549
1.027657167,1.044205603
1.00653288,1.023323808
0.988402765,1.005358874
0.991862034,1.008130303
0.980469674,0.995948838
0.965203302,0.980328783
0.972541954,0.987767996
0.955628484,0.970702861
0.939549024,0.954628659
0.923550624,0.938636494
0.91265067,0.927608441
0.895587534,0.910089352
0.894280471,0.907921636
0.872673833,0.886161407
0.915655875,0.933847291
0.898571906,0.916379952
0.889893112,0.907226282
0.865564789,0.883422252
0.886926337,0.903665687
0.869240961,0.884978501
0.843998249,0.860711045
0.84454342,0.860858932
0.819721869,0.836023324
0.796438519,0.81305828
0.769581533,0.786754862
0.742317539,0.760050586
0.73008617,0.74649708
0.70318558,0.719783472
0.691964818,0.707821391
0.662417387,0.678899514
0.638437266,0.655283926
0.616416774,0.632579421
0.582809408,0.599821895
0.570364317,0.585163853
0.533432576,0.549209321
0.526692572,0.541774027
0.506482892,0.521364441
0.472828278,0.48857385
0.498066602,0.510302036
0.555560567,0.566900817
0.529614532,0.540676204
0.696697789,0.725070953
0.677537855,0.705044961
0.646852009,0.675238396
0.614751858,0.644525806
0.624970054,0.64883595
0.596395841,0.62059889
0.561466692,0.58675526
0.525163808,0.552010187
0.493601593,0.520923511
0.453807196,0.482782473
0.518246579,0.540853046
0.530236844,0.548800641
0.513423605,0.529190901
0.529508713,0.544739421
0.53042054,0.543848023
0.569903451,0.579269287
0.643296763,0.654075817
0.641372185,0.650434755
0.633922001,0.640808595
0.651049728,0.656864353
0.687630382,0.694968739
0.683990616,0.690261745
0.737451873,0.741623635
0.712568497,0.716434521
0.779592555,0.784745369
0.86739502,0.880058038
0.845457371,0.856596112
0.82881045,0.839404895
0.911156414,0.928119794
0.888919683,0.905663067
0.88030887,0.896305454
0.880387792,0.896429891
0.945598305,0.966725058
0.971045858,0.987846524
0.990864038,1.004546934
1.001648799,1.015014913
1.015253629,1.029008011
1.069902032,1.088176977
1.099092065,1.118423443
1.163614626,1.186190158
1.191274808,1.210469604
1.252945995,1.291521108
1.267668779,1.305563616
1.263749225,1.300846874
1.247458178,1.28551122
1.261998261,1.296592342
1.283006851,1.315355405
1.271361931,1.303339387
1.261402504,1.293033189
1.247801785,1.280056705
1.249720863,1.281381155
1.233189396,1.266249946
1.238330508,1.271086346
1.230202472,1.262823916
1.220563198,1.253044483
1.242751354,1.273606463
1.242198314,1.273261221
1.267891421,1.301204024
1.257719542,1.290384195
1.244218009,1.276996784
1.233378146,1.266152543
1.235705489,1.267971726
1.250978512,1.282664443
1.26268134,1.293896377
