N-500,N-800,N-1000,N-1200
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3
0.303296407,0.30412079,0.303067267,0.30450594
0.302604415,0.30374763,0.303275483,0.304268062
0.304437539,0.304515118,0.304009192,0.304740498
0.300120384,0.297946039,0.298855239,0.300883012
0.299887342,0.295421145,0.299807178,0.302018262
0.294477398,0.288588015,0.292731233,0.295398499
0.291482818,0.284331532,0.29116433,0.294640103
0.284327485,0.277017932,0.284348249,0.28874554
0.289097424,0.282508431,0.289064975,0.291917628
0.277046533,0.266051876,0.272613166,0.279942667
0.275667876,0.265414672,0.271552024,0.278685966
0.275629344,0.264116391,0.270456815,0.27714455
0.283202986,0.267739656,0.27520168,0.283300779
0.288475999,0.271970807,0.2795285,0.288512486
0.298847962,0.279093879,0.28832718,0.297102924
0.289260826,0.269220256,0.279842062,0.287958368
0.288181678,0.268720123,0.279775284,0.287897857
0.287085393,0.268477005,0.27933545,0.286394525
0.288211706,0.269043059,0.280846877,0.287749008
0.29008446,0.270167488,0.283193337,0.290071726
0.282879589,0.265010129,0.278450045,0.285942427
0.281515329,0.263553681,0.277211276,0.284343216
0.281834681,0.263316849,0.277938229,0.285106276
0.287015911,0.268925867,0.282741493,0.291444352
0.286376627,0.268841319,0.283567852,0.290834775
0.285664341,0.268319121,0.28358307,0.290422035
0.283324613,0.267056922,0.28264594,0.287556981
0.296990505,0.277882827,0.294168701,0.301348662
0.300106451,0.282056096,0.297461872,0.304646498
0.295398836,0.276856872,0.292367657,0.300618799
0.300848717,0.282381324,0.299743604,0.306853926
0.28510281,0.26512554,0.279092055,0.29009793
0.288822072,0.267117386,0.283538574,0.294134313
0.289485476,0.267897931,0.284438731,0.29525339
0.289163306,0.268025266,0.284530089,0.295308572
