N=1000,N=1200
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.304358096,0.303299923
0.304172059,0.302960942
0.304538148,0.304672389
0.299210232,0.299574409
0.300881494,0.30019449
0.294011489,0.293057961
0.292318563,0.287214404
0.283963265,0.279650014
0.287634509,0.28364257
0.271774322,0.271395519
0.269932614,0.270476847
0.268205829,0.26919345
0.270635077,0.273496306
0.274558675,0.278326486
0.280059911,0.286509934
0.270573246,0.274680363
0.271521891,0.275907237
0.270099914,0.27435254
0.270365604,0.275548156
0.271054235,0.276869509
0.267295827,0.274741498
0.265950439,0.273439008
0.266454174,0.273113844
0.269792668,0.277637992
0.267904669,0.276318194
0.267541917,0.276300443
0.268164642,0.278371606
0.281568939,0.294067177
0.283545812,0.296889834
0.279969668,0.292300485
0.283644049,0.297260811
0.268099266,0.284691486
0.269180772,0.287289071
0.269642666,0.287477632
0.26944311,0.287306454
0.269118575,0.287823261
0.269800495,0.288638377
0.26682482,0.285047911
0.266798662,0.285190924
0.267594436,0.285167306
0.269758209,0.287916131
0.262874657,0.278985193
0.267162437,0.28328506
0.264780817,0.280261609
0.266689218,0.282324762
0.268581071,0.284460693
0.270915546,0.288991267
0.269288802,0.287329794
0.26931359,0.286810008
0.266253009,0.284068321
0.266822642,0.284712417
0.267213146,0.284773411
0.267348595,0.284678205
0.267464145,0.284305057
0.270583727,0.287132867
0.272797231,0.289305503
0.270890491,0.28733149
0.271989268,0.289352156
0.27003919,0.28614314
0.271923657,0.286771254
0.274450064,0.289291629
0.268590924,0.283131581
0.269166137,0.283737697
0.266969775,0.282011687
0.268547487,0.284973499
0.260551739,0.276110903
0.263086612,0.278994313
0.268765081,0.286657081
0.262538226,0.280132954
0.264480514,0.281227645
0.268349477,0.285709903
0.271871256,0.289511793
0.270432534,0.287491561
0.270320321,0.287822252
0.272800706,0.29110804
0.264435649,0.285055072
0.266294419,0.287928617
0.269934025,0.292122052
0.267963722,0.289801295
0.267648624,0.289490458
0.268603304,0.290641607
0.265787209,0.287051831
0.263674522,0.28489738
0.263075832,0.284968349
0.264225565,0.286909505
0.266779347,0.291197419
0.270613222,0.294838327
0.272743939,0.301127896
0.274959838,0.304071351
0.276548301,0.306979608
0.279987065,0.311294932
0.280152857,0.311347646
0.278222239,0.309785994
0.27801186,0.309537394
0.278219084,0.30986713
0.281182288,0.313348123
0.283996888,0.316516216
0.286378954,0.321142264
0.274595204,0.308548884
0.271938084,0.305581863
0.274136187,0.309030531
0.269077134,0.303309942
0.269523087,0.305547681
0.248052199,0.294404582
0.236617804,0.279949598
0.236771875,0.279636646
0.235139252,0.27873689
0.237565815,0.280323169
0.240520086,0.282611981
0.229335813,0.272885249
0.229312541,0.273675335
0.227352823,0.270333722
0.230067766,0.272394231
0.218179289,0.260371834
0.220358373,0.264170725
0.227215396,0.277096375
0.261667606,0.317196721
0.253197791,0.305686431
0.254454602,0.307595069
0.254852435,0.308898066
0.255062851,0.308774687
0.254695151,0.309235254
0.255103931,0.310668122
0.253753814,0.308451687
0.253113844,0.307280703
0.253070013,0.307471156
0.252303024,0.306653523
0.251276118,0.305573665
0.251374534,0.306168776
0.252186912,0.306451318
0.2504739,0.303735669
0.248357581,0.301416632
0.248930588,0.304836116
0.247902846,0.30393157
0.247638121,0.305039745
0.249074393,0.306890297
0.251017331,0.309686744
0.253324466,0.312522773
0.255417785,0.317214626
0.251491099,0.310483373
0.248415812,0.306824023
0.249527752,0.30858265
0.25145769,0.312013936
0.242595729,0.300215388
0.23889657,0.296160422
0.22954678,0.289695017
0.221185963,0.281012438
0.220150654,0.277459535
0.219421675,0.277050657
0.220227341,0.277788056
0.223224398,0.282054562
0.228247057,0.288327797
0.231284524,0.291090558
0.235905135,0.294433633
0.239288811,0.297181048
0.232490697,0.28894117
0.235308759,0.292815618
0.234699131,0.29213914
0.235038769,0.291143111
0.237723969,0.29382423
0.241413025,0.297692276
0.245489693,0.304186277
0.245550269,0.304523435
0.246451876,0.304922662
0.24630139,0.303551759
0.246212201,0.302826856
0.249270089,0.305732775
0.243671858,0.299157719
0.241378377,0.295492267
0.234636017,0.289474374
0.231164642,0.28573256
0.232397238,0.285136171
0.231617929,0.284594175
0.230267143,0.282726531
0.232531768,0.28502157
0.236425193,0.289998674
0.2405901,0.294618886
0.244384424,0.298528714
0.244992033,0.298938967
0.246573423,0.300284797
0.247106353,0.300484449
0.247534978,0.300495055
0.251071102,0.304204542
0.255220209,0.309234321
0.258853509,0.313622342
0.263081597,0.318958137
0.267659248,0.325463207
0.273125487,0.331086355
0.277731617,0.336888893
0.278420122,0.336987813
0.279783947,0.338766786
0.281140373,0.339605511
0.277731807,0.3342502
0.272648848,0.327558793
0.274020879,0.329072521
0.27626118,0.330778616
0.276662366,0.331184382
0.278238158,0.334331885
0.278331475,0.333694039
0.276434039,0.330098566
0.268404393,0.321339001
0.268438985,0.320914073
0.266935231,0.320404351
0.263325031,0.314087443
0.261262629,0.310690416
0.260991533,0.310182448
0.260872255,0.309837706
0.261994442,0.310231399
0.262499837,0.310924175
0.264285373,0.312067175
0.235743529,0.290629019
0.220586748,0.272695894
0.216814815,0.277480963
0.245360171,0.314545896
0.248934405,0.317148219
0.248751926,0.315896927
0.248507163,0.314460845
