N-500,N-800,N-1000,N-1200
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9
0.898381236,0.898741277,0.898686502,0.898590254
0.895667087,0.895619151,0.895890128,0.895267574
0.900354849,0.898285488,0.898817355,0.898554491
0.896756774,0.89472274,0.894857143,0.895228351
0.89451215,0.892894018,0.892896891,0.892762866
0.894038765,0.892894738,0.892534677,0.892266556
0.891202823,0.891092794,0.890164118,0.890511418
0.891872451,0.891807291,0.890378159,0.890544304
0.892243345,0.893045176,0.891574342,0.891540056
0.8910185,0.892365573,0.890990628,0.890989736
0.888568617,0.88978452,0.888700508,0.888593472
0.886666132,0.888892872,0.887142489,0.887279834
0.888619424,0.8914898,0.888966647,0.89037092
0.886867728,0.890363332,0.887991906,0.889234555
0.889429353,0.891737576,0.889288329,0.890758409
0.886886349,0.888809297,0.886071742,0.887711686
0.884644634,0.885978928,0.883416855,0.885028248
0.883201865,0.884789153,0.882032451,0.883919907
0.881634497,0.883428392,0.880860867,0.882508438
0.880797401,0.882573366,0.879302101,0.880692335
0.878186191,0.880179029,0.876212381,0.878269728
0.875813871,0.877974904,0.874243617,0.876035495
0.875142122,0.877622423,0.873520792,0.87538327
0.87988042,0.88057849,0.876315376,0.877688784
0.876651317,0.877712131,0.873714881,0.874857655
0.874635581,0.875266226,0.871391348,0.872607932
0.873670242,0.874187267,0.870498704,0.871635036
0.871835203,0.873243718,0.869500288,0.869668537
0.868953494,0.870022281,0.866735458,0.866957073
0.870042627,0.870825342,0.867003711,0.867422769
0.871233242,0.872271344,0.868531277,0.8683104
0.87098782,0.872294394,0.870211659,0.868282438
0.868071777,0.8701086,0.866886514,0.865336693
0.865750092,0.867542116,0.863725929,0.863038961
0.86317223,0.865043226,0.86103058,0.860618294
0.860366002,0.861572222,0.858227964,0.857666347
0.858369805,0.859707047,0.855957297,0.854968959
0.856940747,0.857923142,0.85469758,0.853667098
0.854066485,0.855362781,0.852214651,0.850954663
0.852429505,0.853161739,0.850455736,0.84927524
0.851934033,0.852786017,0.850336095,0.848841412
0.851069115,0.852158721,0.85033666,0.848924488
0.848207166,0.849754999,0.848600593,0.846600679
0.84652272,0.848637405,0.846945497,0.845215559
0.847102076,0.849570674,0.847899309,0.845918631
0.845028513,0.8482789,0.846111363,0.843889908
0.846192079,0.848724877,0.846369202,0.844538335
0.843061663,0.845319128,0.84349754,0.841065096
0.840533199,0.842889446,0.841088645,0.839056666
0.841792319,0.843758896,0.841780419,0.839898695
0.83935801,0.841702974,0.839694236,0.837288257
0.837101631,0.839414071,0.837248253,0.834913693
0.834717855,0.836982011,0.834598315,0.832692109
0.83608201,0.838518957,0.836728232,0.834445137
0.839268217,0.839635748,0.83832516,0.836082668
0.83694133,0.838171375,0.836841507,0.8343074
0.834521931,0.834995494,0.833212934,0.831999579
0.831594618,0.832764618,0.830324057,0.829535396
0.83066713,0.83177367,0.830109431,0.828644719
0.832493285,0.833177066,0.831121038,0.829860921
0.83209154,0.832486126,0.830442381,0.829474509
0.831257764,0.830591061,0.829739736,0.827958836
0.829098734,0.827865053,0.827450378,0.825591766
0.830210028,0.829568239,0.829163598,0.826745732
0.832063218,0.829720403,0.830176826,0.827250467
0.832006588,0.829492235,0.829669513,0.826516355
0.829432244,0.82732083,0.827289771,0.82391011
0.829630706,0.826555815,0.826516474,0.823530009
0.8308212,0.829022079,0.827632846,0.82503753
0.832952072,0.829414342,0.829207353,0.826575802
0.835345383,0.831389016,0.830595141,0.828049346
0.834488975,0.830353366,0.830054357,0.827082073
0.832079246,0.828008195,0.82747058,0.824512679
0.832338172,0.829049357,0.827781753,0.825379176
0.832601079,0.828962997,0.827731649,0.82515939
0.831958188,0.827677322,0.826277483,0.824009055
0.829688702,0.825231607,0.824075758,0.82104282
0.828894987,0.823668407,0.823591042,0.819574064
0.827376385,0.82197816,0.821395878,0.817786009
0.826366053,0.821208726,0.820574533,0.816869848
0.824445953,0.819207184,0.818578131,0.814788428
