N=1000,N=1200
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.9,0.9
0.891512044,0.89434182
0.875850565,0.880551087
0.890439991,0.889754252
0.875855986,0.873356798
0.868515571,0.863509113
0.868030048,0.862874565
0.858666854,0.862831745
0.859004991,0.862440853
0.867332868,0.868281435
0.862174958,0.865490026
0.84982087,0.853197303
0.842467671,0.848401576
0.852437599,0.859862668
0.846569072,0.85208654
0.858947686,0.865330299
0.84574939,0.852163788
0.829943117,0.838858041
0.822006837,0.833830548
0.814945509,0.825229185
0.806641518,0.816098832
0.791095439,0.80565229
0.780984768,0.7959288
0.775662097,0.794390528
0.786982873,0.802352595
0.769010895,0.788461188
0.754863548,0.774839386
0.756903985,0.783092325
0.751655532,0.77704417
0.736894632,0.760799926
0.741040582,0.765876593
0.745454069,0.774689763
0.744079649,0.775192334
0.729804363,0.761609334
0.716620532,0.748858914
0.704377833,0.737086707
0.692611443,0.720171341
0.678863036,0.70709307
0.672261922,0.701872289
0.660444065,0.687527551
0.65361841,0.680741525
0.656099273,0.683528723
0.64678239,0.675707238
0.630811558,0.660807889
0.626855359,0.657669629
0.627642084,0.662693268
0.622938071,0.655382069
0.624986498,0.661803079
0.611616348,0.64693706
0.594978424,0.632399608
0.598341948,0.637693002
0.588340284,0.625864424
0.576862479,0.615474628
0.56420867,0.600356083
0.566397975,0.604250008
0.57580247,0.611391072
0.571120582,0.604077386
0.558046929,0.59068437
0.542493775,0.578231563
0.540922839,0.578174962
0.546535997,0.580938403
0.543185438,0.579377874
0.538265383,0.571661506
0.526463463,0.560110079
0.532935488,0.567392703
0.540219759,0.569095441
0.536514023,0.579717284
0.522804308,0.563725726
0.509987005,0.562539981
0.515645434,0.565861697
0.522221653,0.571443788
0.532707103,0.579595933
0.53132849,0.577998072
0.519134654,0.56458637
0.523065464,0.572333117
0.527178757,0.573331639
0.524041854,0.568923347
0.51108267,0.556135515
0.504195903,0.546948796
0.498221174,0.540324817
0.497219248,0.538912057
0.491324798,0.530533586
0.492582169,0.52968761
0.486194597,0.523533139
0.483001882,0.524242118
0.48653049,0.528231413
0.495365794,0.534017575
0.498328914,0.543808542
0.502438432,0.54670116
0.496389106,0.542128527
0.499297762,0.544797442
0.502964713,0.546397544
0.49432055,0.53601706
0.477874971,0.521488265
0.468245526,0.513178422
0.471263814,0.517696079
0.4775608,0.52076915
0.477951727,0.521467798
0.480005813,0.523631691
0.510660405,0.546644508
0.505674363,0.539719
0.504987528,0.535002734
0.507637724,0.538119532
0.509717582,0.537516513
0.646366279,0.707641355
0.646054603,0.710433788
0.634059903,0.695030051
0.634582233,0.692160237
0.630047308,0.690453212
0.627045751,0.687533919
0.648462341,0.71796347
0.6363939,0.706997218
0.640028111,0.713568127
0.637003487,0.707855639
0.67395612,0.749400093
0.659541639,0.735951084
0.671763777,0.744889358
0.706897876,0.781199631
0.699496184,0.773917531
0.682506158,0.756839233
0.668442174,0.741628357
0.655797097,0.728586862
0.642748882,0.716842105
0.63095188,0.701763666
0.628582429,0.699239829
0.615768964,0.681631897
0.603837022,0.667656454
0.599974342,0.659637944
0.583863707,0.645699239
0.571728424,0.633624183
0.556586937,0.620803175
0.562730518,0.628318162
0.545022894,0.616962151
0.531079393,0.600149536
0.52451382,0.5908862
0.5328445,0.596309101
0.52904882,0.590398043
0.526344298,0.590567931
0.524215856,0.589458462
0.533024368,0.594542175
0.523227402,0.58459125
0.527328685,0.591846573
0.521762566,0.585008689
0.532969673,0.592077644
0.528253361,0.601035601
0.52693874,0.600636271
0.66442592,0.739687362
0.658129315,0.73492966
0.664411139,0.739689878
0.651171465,0.721880619
0.653913245,0.72455926
0.654368415,0.723427097
0.664632549,0.733502829
0.659182319,0.724301785
0.662933874,0.726923736
0.658782735,0.721015018
0.649340797,0.712252086
0.635356574,0.700673784
0.626120099,0.690035583
0.629326429,0.692624842
0.63019487,0.689272259
0.632648281,0.690856842
0.639544062,0.699986838
0.630905552,0.688750002
0.624168253,0.681638625
0.613416329,0.667335261
0.61628043,0.672651903
0.619859644,0.677487823
0.608973498,0.66499363
0.614528063,0.667862354
0.619289371,0.674989904
0.61622028,0.668204175
0.612310179,0.664789736
0.598767448,0.651168247
0.600785985,0.649763304
0.606522657,0.654104907
0.610812936,0.663459783
0.611763028,0.66288709
0.611242428,0.664069821
0.60411693,0.655168453
0.605431671,0.656220057
0.593346482,0.645689811
0.599006803,0.650667395
0.606895557,0.658568252
0.612319906,0.663570149
0.612892522,0.664555586
0.615640002,0.670979557
0.620429084,0.676960856
0.623319669,0.678970823
0.63162261,0.685733212
0.621475038,0.673666646
0.622741259,0.672847749
0.614364196,0.660581492
0.607695038,0.654153688
0.612915513,0.663757971
0.612094741,0.666332847
0.605043615,0.659720955
0.596823768,0.650869988
0.603443329,0.659523477
0.592685282,0.647832232
0.621655648,0.684235365
0.62177138,0.686681781
0.616204951,0.679678292
0.605785949,0.66931725
0.610867429,0.672786119
0.598766726,0.6601832
0.590536842,0.649736206
0.58346572,0.641257858
0.587097878,0.64571875
0.580005404,0.637494673
0.589326751,0.647540926
0.725324771,0.783893406
0.726546569,0.788783734
0.728983504,0.793229041
0.767276358,0.822219281
0.754534712,0.810779451
0.74407361,0.799654618
0.739094391,0.793761218
0.744364049,0.798322185
0.749457581,0.805265113
0.759371255,0.813897747
0.757965111,0.807470537
0.755883473,0.803863274
0.764583748,0.810468466
0.77300747,0.81705109
0.762180011,0.801960805
0.754694277,0.790938653
0.765963658,0.800197075
0.759511891,0.794532631
0.758920483,0.793179492
0.760844396,0.795233539
0.748925185,0.78086624
0.744060597,0.775704246
0.749583809,0.780517776
0.758681998,0.789232529
0.747520481,0.776681538
0.745428229,0.775823281
0.755800742,0.786320982
0.749956308,0.779066167
0.754626592,0.785082305
0.753307864,0.782137523
0.75800876,0.787455688
0.747038069,0.772620803
0.746125452,0.772279626
0.751810945,0.782315192
0.746717219,0.77531903
0.750157891,0.776681496
0.739745083,0.763737235
0.745609105,0.766892639
0.752882484,0.76944107
0.748641946,0.764571256
0.739931687,0.754928827
0.727477647,0.74229965
0.728797948,0.746460621
0.733368302,0.748127389
0.72411028,0.740026952
0.716996085,0.73044721
0.704365201,0.720300771
0.69919388,0.715466199
0.699838742,0.716990174
0.695550464,0.71296931
0.70038195,0.722055303
0.693581535,0.712955454
0.686460436,0.70264425
0.689805931,0.705604213
0.679237562,0.691571629
0.68609751,0.696772703
0.679020777,0.693804711
0.67036838,0.684905605
0.670652686,0.688078694
0.661470667,0.681055334
0.649835862,0.673846024
0.640684697,0.663199957
0.639781581,0.664241213
0.632149589,0.65623203
0.631985821,0.657177436
0.623917184,0.647333023
0.608455443,0.633334514
0.595683553,0.621102638
0.58532875,0.612077101
0.575244677,0.6017
0.573553312,0.598719286
0.575602015,0.602908166
0.575648664,0.60147053
0.576443986,0.603819598
0.564580653,0.594442116
0.559110515,0.58770228
0.577867812,0.597976333
0.577343126,0.597690169
0.573709291,0.591717799
0.579706862,0.598719724
0.582318037,0.601331614
0.580704252,0.598061555
0.58028811,0.600067822
0.574239829,0.593326871
0.570730391,0.590456617
0.57255393,0.591453108
0.572473222,0.590823566
0.569931214,0.584282555
0.572338107,0.586966015
0.561625365,0.575481996
0.556775662,0.568970477
0.561687705,0.571454558
0.55619768,0.564911963
0.558448937,0.566023443
0.559908477,0.567308754
0.551271019,0.560614936
0.54416271,0.554271389
0.545941195,0.558430575
0.625457973,0.637839567
0.617048527,0.627118214
0.626455563,0.640979254
0.62636695,0.641161198
0.615385313,0.630512871
0.618476853,0.63558014
0.615032111,0.630878803
0.607034175,0.619440687
0.606076434,0.617572162
0.601231881,0.611828902
0.603514389,0.614188956
0.600723496,0.607198397
0.589579423,0.597016943
0.58643701,0.594004954
0.579447897,0.585861679
0.583015453,0.592263004
0.575231838,0.583260903
0.580282439,0.587802318
0.573171991,0.579289972
0.570444945,0.577941624
0.562468101,0.569482675
0.562106171,0.567543718
0.560808665,0.559497017
0.562553033,0.563823022
0.567153014,0.568643286
0.681882891,0.683506407
0.680807469,0.680099114
0.67811826,0.679354456
0.670701388,0.677128531
0.668817963,0.673602099
0.681688536,0.69096413
0.677571611,0.687313461
0.673854315,0.682959808
0.672832521,0.682277693
0.665905908,0.675021174
0.657138815,0.665374725
0.655286534,0.663472807
0.649625407,0.657892231
0.645799351,0.652626025
0.638946819,0.645451661
0.630397506,0.639043955
0.6302289,0.637844629
0.633621238,0.640920544
0.636948033,0.642674486
0.638268836,0.642434792
0.631627777,0.634245713
0.623697671,0.625637347
0.615014273,0.617123809
0.612153553,0.612645478
0.617511393,0.618349082
0.622321199,0.626041631
0.62877762,0.629347418
0.631101248,0.634391393
0.623674752,0.628685787
0.615418451,0.623895901
0.61738044,0.628904106
0.621262848,0.634302948
0.625154702,0.632998482
0.61910967,0.624655822
0.620404736,0.627323172
0.621836409,0.630715695
0.618433569,0.625504332
0.609746632,0.616045569
0.601113131,0.607957839
0.592465986,0.598496053
0.588415859,0.593898088
0.59020807,0.595497097
0.597008758,0.600134582
0.592918661,0.590694091
0.591075055,0.588389102
0.591479387,0.589113529
0.586385909,0.585539684
0.587428438,0.58554858
0.589119204,0.589192146
0.591521073,0.589728085
0.584054107,0.581810625
0.581027061,0.579226709
0.581858012,0.5812888
0.576571033,0.575175668
0.583165922,0.579005489
0.583256421,0.577704913
0.574952282,0.569071947
0.57879808,0.573296228
0.570033777,0.565089142
0.564055447,0.556382484
0.56267177,0.555726175
0.556459763,0.550416567
0.549307386,0.54375948
0.549077512,0.541426825
0.543105135,0.531764672
0.544240648,0.532109587
0.535718093,0.522411983
0.528304638,0.515749048
0.527954166,0.516000617
0.5235287,0.508649544
0.5274318,0.512674887
0.528611195,0.513243455
0.523871367,0.509242441
0.521470263,0.505822171
0.521057478,0.504543759
0.514327896,0.498168674
0.509611646,0.494090247
0.504881553,0.487624703
0.499546296,0.481678041
0.507358661,0.500103733
0.511750858,0.499862519
0.52785197,0.52060637
0.524051091,0.516863348
0.516046877,0.509355553
0.508028431,0.500822509
0.511318262,0.503759904
0.516298092,0.508738271
0.515025394,0.506513508
0.515165615,0.508977261
0.517176051,0.511411357
0.521192231,0.512037179
0.511705623,0.506363087
0.50326124,0.498721954
0.498496059,0.492613762
0.495861829,0.490438567
0.48989213,0.483188072
0.484696881,0.47731978
0.484387147,0.476973157
0.485690265,0.479075307
0.487204179,0.482188684
0.486186898,0.480157674
0.489123562,0.481836692
0.482588335,0.475939367
0.480603028,0.475966109
0.476993077,0.472947133
0.476512904,0.474701942
0.478300699,0.476114777
0.473899649,0.472761366
0.470852812,0.469182858
0.465283034,0.463825752
0.46389353,0.464534788
0.464915134,0.468307872
0.460455396,0.462434376
0.451879262,0.455793952
0.454016951,0.458089445
0.451591075,0.455569442
0.446354099,0.449267739
0.444570189,0.449164493
0.437749204,0.4418363
0.440684034,0.444615067
0.443054863,0.447299631
0.447991444,0.447778473
0.443332569,0.442755441
0.439071309,0.438875276
0.46210115,0.465162277
0.480559019,0.49093298
0.48262474,0.492195851
0.483277846,0.495036875
0.480905257,0.491994755
0.497991932,0.49826259
0.50644674,0.504022734
0.509564031,0.509572081
0.510824972,0.51420525
0.511214954,0.515204648
0.529742032,0.537067706
0.534734087,0.538499635
0.538252144,0.540582329
0.530549026,0.533427247
0.526449667,0.531298033
0.527678996,0.533347739
0.522369993,0.527913498
0.525933952,0.531706076
0.528430678,0.533207021
0.531799081,0.53525918
0.528152853,0.532462949
0.528418624,0.533139753
0.52860449,0.533613517
0.526324472,0.531262422
0.527556865,0.532647932
0.527895179,0.531595303
0.530845644,0.534779052
0.528789062,0.533101722
0.521505942,0.528414779
0.524518107,0.529806667
0.528180179,0.531387357
0.523250857,0.522484279
0.525741021,0.524503005
0.530345943,0.527124529
0.521782059,0.52127102
0.516761987,0.513080487
0.519080784,0.519128939
0.523243919,0.52410279
0.524218342,0.526586767
0.519215339,0.524061162
0.523005991,0.524825078
0.525094748,0.52765334
0.528576115,0.52947138
0.520386362,0.522347685
0.519533147,0.520659448
0.520343898,0.524349615
0.512996786,0.515324698
0.510908471,0.513427828
0.516739695,0.515560886
0.511092823,0.508862468
0.514817253,0.512596335
0.515474452,0.512225208
0.51099302,0.507123457
0.510177087,0.505538834
0.537154983,0.522418591
0.537505256,0.522623324
0.53483648,0.522802099
0.77291902,0.705788693
0.763656008,0.698530588
0.768540795,0.703943899
0.766758248,0.706371763
0.758557591,0.697505653
0.759025219,0.699797595
0.754509539,0.695673516
0.758187567,0.702542927
0.759137997,0.704444097
0.753219233,0.697184809
0.751137188,0.694917647
0.749304075,0.694759429
0.742061854,0.687942344
0.742048492,0.688674438
0.742551872,0.689269105
0.743519253,0.689597162
0.740649219,0.686829882
0.74111015,0.686891703
0.734911039,0.681729132
0.737957072,0.683209239
0.7425365,0.683493199
0.742276472,0.685618094
0.737408648,0.681180198
0.742518228,0.686305223
0.737145939,0.676750702
0.738266131,0.677614518
0.741820761,0.68290722
0.734816976,0.675790927
0.739563127,0.680168133
0.742573753,0.683756025
0.747686542,0.687167235
0.74913124,0.690998533
0.746156635,0.688266543
0.748777399,0.691957931
0.74484036,0.688145534
0.747244953,0.691541188
0.747486252,0.692013634
0.74721898,0.693013168
0.750731819,0.696937442
0.745804202,0.692969415
0.750535986,0.696398371
0.7444546,0.69085965
0.740489878,0.689084555
0.741192044,0.689718342
0.732716495,0.681189883
0.728228239,0.67530675
0.727184683,0.673745866
0.803372697,0.737366896
0.804374573,0.736576405
0.808602211,0.742980056
0.814037764,0.746892186
0.805243135,0.738663582
0.806646848,0.741387827
0.80994546,0.746625191
0.811752082,0.750943626
0.814480036,0.75208362
0.817762116,0.755462077
0.81513767,0.748930368
0.806807122,0.741873878
0.803770596,0.739571414
0.797955146,0.730536604
0.790710119,0.724495669
0.785387673,0.717975007
0.787518517,0.721771493
0.78117427,0.716828976
0.777067908,0.711598918
0.770067292,0.703302753
0.763376262,0.696227522
0.758664944,0.691540442
0.755788441,0.689307478
0.757768226,0.692273548
0.765773239,0.70437996
0.800900806,0.742405788
0.805503763,0.746978266
0.805863692,0.746702962
0.847748429,0.786611443
0.851022683,0.790584601
0.847393782,0.787007479
0.840918101,0.780656625
0.863643195,0.806008638
0.858473246,0.800833385
0.852797269,0.795329956
0.846630722,0.786000413
0.839510997,0.77668269
0.864195743,0.794388964
0.864808898,0.793306543
0.917555249,0.850133244
0.918894031,0.849050606
1.01725263,0.936611721
1.012129862,0.932457118
1.006865137,0.926147176
1.013334822,0.931755522
1.005663958,0.921532267
1.003040138,0.917798395
1.004069635,0.920253393
1.00254348,0.921286766
1.006814359,0.927600301
0.997331854,0.916613966
1.006673385,0.921403064
0.997578528,0.910237328
0.993443228,0.907305245
0.991421776,0.904781323
0.987722718,0.903605988
0.980493906,0.897174192
0.98812089,0.905030771
0.987814919,0.904665189
0.991037215,0.906993628
0.990131933,0.910080535
0.981390935,0.901048289
0.976539704,0.895080873
0.969508037,0.886429077
