N-500,N-800,N-1000,N-1200
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.49836689,0.497945285,0.49764334,0.497797398
0.498889284,0.498379019,0.497040384,0.497285661
0.498013994,0.497161032,0.49592096,0.496020634
0.495775433,0.496459909,0.495135226,0.495707376
0.497113147,0.49963842,0.496984499,0.49871844
0.496181609,0.498711089,0.496308871,0.497752138
0.495863912,0.497770943,0.494729403,0.497136783
0.494971193,0.496682449,0.49342455,0.496113622
0.493881892,0.495251701,0.492019282,0.494666021
0.496590264,0.497934944,0.493967921,0.498678615
0.501258665,0.502430119,0.498720246,0.504544872
0.499017881,0.499694716,0.495792645,0.501502454
0.498012774,0.498720893,0.494933515,0.500577385
0.498150243,0.499201813,0.495169549,0.501047887
0.49682301,0.497969832,0.49382954,0.499690717
0.50528738,0.506282557,0.501736609,0.508683484
0.501316668,0.503252146,0.498145369,0.504661434
0.499731303,0.502121791,0.49592096,0.502578759
0.498107738,0.500525708,0.494385004,0.500947212
0.497282029,0.498980265,0.493113867,0.500190749
0.500544726,0.500194889,0.494647544,0.502152335
0.498145448,0.498127618,0.492782536,0.500264691
0.496419372,0.496649481,0.491174563,0.498659402
0.494566168,0.49512396,0.489684539,0.497163335
0.493141059,0.493841923,0.489245921,0.496320016
0.492556297,0.493293022,0.489063963,0.495698732
0.493068588,0.495101815,0.488362565,0.497002431
0.496428501,0.498450613,0.490681817,0.49940518
0.49378692,0.496954633,0.489163516,0.497223634
0.492212905,0.495401326,0.487564162,0.495682342
0.490641088,0.493871303,0.486011363,0.494187516
0.492973972,0.497038859,0.489407664,0.496496994
0.494168826,0.499676884,0.49151403,0.498437076
0.494973414,0.50216966,0.493209825,0.500438431
0.496440524,0.503903653,0.494777194,0.502446877
0.494523043,0.502118525,0.492915478,0.500391457
0.492492971,0.500517207,0.490886272,0.498232027
0.490792583,0.498951646,0.489276744,0.496571361
0.490754339,0.498395257,0.488497099,0.496351184
0.490448461,0.497624959,0.487495272,0.49567594
0.489702481,0.497030577,0.4864529,0.494997924
0.490197161,0.496094291,0.48644559,0.494879317
0.492716331,0.496692817,0.487582082,0.496718337
0.490300061,0.494661352,0.48629924,0.494809098
0.489107963,0.493685805,0.485041276,0.493351672
0.490278384,0.494535352,0.484689809,0.493762055
0.488025762,0.492465264,0.483008264,0.491951098
0.486942675,0.491771558,0.482973354,0.491211866
0.488506274,0.492322702,0.483326479,0.492129303
0.486006017,0.49056981,0.481726148,0.490572471
0.48492578,0.489100882,0.480152317,0.48914184
0.483997253,0.487871123,0.478920487,0.487823728
0.484844527,0.487834966,0.478698869,0.487634628
0.485586785,0.488063457,0.478752259,0.487456303
0.485990565,0.488780821,0.478842278,0.487661835
0.483720642,0.486006388,0.476602246,0.485494638
0.482554982,0.484329619,0.476441876,0.485084137
0.482343767,0.485481595,0.477990957,0.486680973
0.48144221,0.484541406,0.476962688,0.485912551
0.479882623,0.48281565,0.475251832,0.484178468
0.478730379,0.481995997,0.474615079,0.483129149
0.483254066,0.484543067,0.476973205,0.485387131
0.481611311,0.482587533,0.474887196,0.483906178
0.479912732,0.481325823,0.4734402,0.482363089
0.478083961,0.480324276,0.472165444,0.481088141
0.481762965,0.48205048,0.474720867,0.484026438
0.478895519,0.480581238,0.473397228,0.482975467
0.49264512,0.488936739,0.482864564,0.491115027
0.491728065,0.487653523,0.481849388,0.490196726
0.4910353,0.486385267,0.480971196,0.489326638
0.491155348,0.485670842,0.48093877,0.48927665
0.493057135,0.485802202,0.481806219,0.490228929
0.496083183,0.487515578,0.483042623,0.492104612
0.494631718,0.486142356,0.481652718,0.490738375
0.493204365,0.484670483,0.480138355,0.489320092
0.493483653,0.485042353,0.479490349,0.489239819
0.493898703,0.485271763,0.478775369,0.489037622
0.494821925,0.487275916,0.479223191,0.49040218
0.494163703,0.487061348,0.478679693,0.4903152
0.491933518,0.485255499,0.476657161,0.488210502
0.49031911,0.483449263,0.474844276,0.486541499
0.493659505,0.484487963,0.476832124,0.487890256
0.492434855,0.484087574,0.477260404,0.487407654
0.490884078,0.482547196,0.475486508,0.485864473
0.489396496,0.481032327,0.473897358,0.48427512
0.48802749,0.479735522,0.4727664,0.482863029
0.487041041,0.478846101,0.471931468,0.481526314
0.486799472,0.47874413,0.472374185,0.480888567
0.491482893,0.481649196,0.47700905,0.484456525
0.493366664,0.483313914,0.478945418,0.486262994
0.494407289,0.484035105,0.480032617,0.487576891
0.497756275,0.486978581,0.483494708,0.490751653
0.502172287,0.490231399,0.486883731,0.49467018
0.498935564,0.487283693,0.483709049,0.490969861
0.497661622,0.486025379,0.482607317,0.489779488
0.496382848,0.484671023,0.481335473,0.488436381
